model	revision	file	bytes	sha256
Qwen2.5-7B-Instruct-Q4_K_M	bb5d59e06d9551d752d08b292a50eb208b07ab1f	qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf	3993201344	dfce12e3862a5283ccfb88221b48480e58745165de856439950d0f22590580db
Qwen2.5-7B-Instruct-Q4_K_M	bb5d59e06d9551d752d08b292a50eb208b07ab1f	qwen2.5-7b-instruct-q4_k_m-00002-of-00002.gguf	689872288	539cf93f78e887edea1c04e2d7d8cdaca9d01dae9c9025bcb8accbe29df3d72a
Qwen2.5-14B-Instruct-Q4_K_M	b466e1f8c07172155743e8e1307507d8a4f91fbd	qwen2.5-14b-instruct-q4_k_m-00001-of-00003.gguf	3991999872	a09ea5e7b1eafb1b30b241726c3cc3c905c96f14ad41e246ffa5f44e53904f68
Qwen2.5-14B-Instruct-Q4_K_M	b466e1f8c07172155743e8e1307507d8a4f91fbd	qwen2.5-14b-instruct-q4_k_m-00002-of-00003.gguf	3989373504	21b9457d079680d284e90ef69607c4b2d8ef64a09d4729cb7b5e1357bdba41ae
Qwen2.5-14B-Instruct-Q4_K_M	b466e1f8c07172155743e8e1307507d8a4f91fbd	qwen2.5-14b-instruct-q4_k_m-00003-of-00003.gguf	1006737120	c8d37006760a387a35216e070e6664d7da927f10be8eb870fef2e3d4833d9976
Qwen2.5-32B-Instruct-Q5_K_M	a15e3cc10f8bbb2c0af6f8f1f34a32e3b060c09d	qwen2.5-32b-instruct-q5_k_m-00001-of-00006.gguf	3952703168	3dd436249faeb97564bce5c8d1afecfcd613ac76b39b89b09c2c2afc30a61cee
Qwen2.5-32B-Instruct-Q5_K_M	a15e3cc10f8bbb2c0af6f8f1f34a32e3b060c09d	qwen2.5-32b-instruct-q5_k_m-00002-of-00006.gguf	3960827616	794d6ba9c3ea904f7968c80d80a5b56c9cb127e6ded4ea4ff620de88776e5c0a
Qwen2.5-32B-Instruct-Q5_K_M	a15e3cc10f8bbb2c0af6f8f1f34a32e3b060c09d	qwen2.5-32b-instruct-q5_k_m-00003-of-00006.gguf	3982458784	f25a3217100c226cb05aba31e314ad851382009451e0d105806c1be80b6da725
Qwen2.5-32B-Instruct-Q5_K_M	a15e3cc10f8bbb2c0af6f8f1f34a32e3b060c09d	qwen2.5-32b-instruct-q5_k_m-00004-of-00006.gguf	3982438240	ad6495f3bb80717af8769efe92c250c93fe1307d15cef28e3222f8b8226816bb
Qwen2.5-32B-Instruct-Q5_K_M	a15e3cc10f8bbb2c0af6f8f1f34a32e3b060c09d	qwen2.5-32b-instruct-q5_k_m-00005-of-00006.gguf	3906789440	3be0e3bebae1c398e8cd921f5e615f8dfe67dd7db162bf1a5bd469742247cc1d
Qwen2.5-32B-Instruct-Q5_K_M	a15e3cc10f8bbb2c0af6f8f1f34a32e3b060c09d	qwen2.5-32b-instruct-q5_k_m-00006-of-00006.gguf	3476940320	824a4ddced41142f62f5e1cc5721946118355768bfaef4dd60ad77947df2730a
